"Code","Definition"
"U-4160","A METHOD OF USING LOSARTAN FOR THE TREATMENT OF DIABETIC NEPHROPATHY WITH AN ELEVATED SERUM CREATININE AND PROTEINURIA IN PATIENTS WITH TYPE 2 DIABETES AND A HISTORY OF HYPERTENSION"
"U-4161","TREATMENT OF COMPLEMENT 3 GLOMERULOPATHY (C3G)"
"U-4162","TREATMENT OF HIV INFECTION IN ADULTS AND PEDIATRIC PATIENTS WEIGHING AT LEAST 25KG USING A COMPOSITION CONTAINING A PHARMACOKINETIC ENHANCER THAT INHIBITS CYTOCHROME P450 MONOOXYGENASE"
"U-4163","TREATMENT OF AMEBIASIS IN ADULTS AND PEDIATRIC PATIENTS"
"U-4164","TREATMENT OF ANAEROBIC BACTERIAL INFECTIONS IN ADULTS"
"U-4165","ROUTINE PROPHYLAXIS TO PREVENT OR REDUCE THE FREQUENCY OF BLEEDING EPISODES IN ADULT AND PEDIATRIC PATIENTS AGED 12 YEARS AND OLDER WITH HEMOPHILIA A OR B WITH OR WITHOUT FACTOR VIII OR IX INHIBITORS"
"U-4166","TREATMENT OF FEMALE ADULT AND PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER WEIGHING AT LEAST 40 KG WITH UNCOMPLICATED URINARY TRACT INFECTIONS (UUTI) CAUSED BY ESCHERICHIA COLI, KLEBSIELLA PNEUMONIAE, ENTEROCOCCUS FAECALIS"
"U-4167","REDUCING HYPERPHAGIC AGGRESSIVE BEHAVIORS IN PRADER-WILLI SYNDROME PATIENTS"
"U-4168","A METHOD FOR REDUCING A RISK OF AT LEAST ONE CARDIOVASCULAR EVENT"
"U-4169","FOR TREATMENT OF ADULT PATIENTS WITH PROSTATE-SPECIFIC MEMBRANE ANTIGEN (PSMA)-POSITIVE METASTATIC CASTRATION-RESISTANT PROSTATE CANCER (MCRPC) WHO HAVE BEEN TREATED WITH ANDROGEN RECEPTOR PATHWAY INHIBITOR (ARPI) THERAPY"
"U-4170","USE OF LEVACETYLLEUCINE FOR TREATMENT OF NEUROLOGICAL MANIFESTATIONS OF NIEMANN-PICK DISEASE TYPE-C (NPC)"
"U-4171","USE OF EMPAGLIFLOZIN TO REDUCE THE RISK OF CARDIOVASCULAR DEATH IN ADULTS WITH CHRONIC KIDNEY DISEASE AT RISK OF PROGRESSION"
"U-4172","TREATMENT OF ADULT PATIENTS WITH LOW-GRADE UPPER TRACT UROTHELIAL CANCER"
"U-4173","NASAL ADMINISTRATION OF DIAZEPAM FOR THE ACUTE TREATMENT OF INTERMITTENT, STEREOTYPIC EPISODES OF FREQUENT SEIZURE ACTIVITY THAT ARE DISTINCT FROM A PATIENT'S USUAL SEIZURE PATTERN IN PATIENTS WITH EPILEPSY 2 YEARS OF AGE AND OLDER"
"U-4174","TREATMENT OF ADULT PATIENTS WITH PAROXYSMAL NOCTURNAL HEMOGLOBINURIA (PNH) BY SUBCUTANEOUS ADMINISTRATION OF A UNIT DOSE OF 1080 MG OF PEGCETACOPLAN IN A COMPOSITION OF CLAIM 1"
"U-4175","TREATMENT OF ADULT PATIENTS WITH PAROXYSMAL NOCTURNAL HEMOGLOBINURIA (PNH) BY TWICE-WEEKLY SUBCUTANEOUS ADMINISTRATION OF A UNIT DOSE OF 1080 MG OF PEGCETACOPLAN IN A COMPOSITION OF CLAIM 1"
"U-4176","TREATMENT OF ADULT PATIENTS WITH ADVANCED RENAL CELL CARCINOMA WITH A CLEAR CELL COMPONENT FOLLOWING A PROGRAMMED DEATH RECEPTOR-I OR PROGRAMMED DEATH-LIGAND 1 INHIBITOR AND A VASCULAR ENDOTHELIAL GROWTH FACTOR TYROSINE KINASE INHIBITOR"
"U-4177","CUSHING'S SYNDROME, INCLUDING CUSHING'S DISEASE"
"U-4178","TREATMENT OF VENOUS THROMBOEMBOLISM (VTE) AND REDUCTION IN THE RISK OF RECURRENT VTE IN PEDIATRIC PATIENTS WITH BODY WEIGHT GREATER THAN OR EQUAL TO 35 KG"
"U-4179","TREATMENT OF VENOUS THROMBOEMBOLISM (VTE) AND REDUCTION IN THE RISK OF RECURRENT VTE IN PEDIATRIC PATIENTS WITH BODY WEIGHT FROM 4 TO LESS THAN 35 KG"
"U-4180","TREATMENT OF VENOUS THROMBOEMBOLISM (VTE) AND REDUCTION IN THE RISK OF RECURRENT VTE IN PEDIATRIC PATIENTS WITH BODY WEIGHT FROM 2.6 TO LESS THAN 4 KG"
"U-4181","TREATMENT OF COMPLEMENT 3 GLOMERULOPATHY (C3G) BY ADMINISTRATION OF 200 MG OF IPTACOPAN TWICE DAILY"
"U-4182","EMERGENCY TREATMENT OF A KNOWN OR SUSPECTED OPIOID OVERDOSE/SYMPTOM THEREOF IN A HUMAN CAUSED BY NATURAL OR SYNTHETIC OPIOIDS, SUCH AS REMIFENTANIL-INDUCED RESPIRATORY DEPRESSION, WITH 2.7MG NALMEFENE, ADMINISTERED AS 3MG NALMEFENE HYDROCHLORIDE"
"U-4183","TREATMENT OF GASTROINTESTINAL STROMAL TUMORS IN A PATIENT SUFFERING FROM GRADE 3 ARTHRALGIA WHILE BEING ADMINISTERED RIPRETINIB DAILY"
"U-4184","METHOD OF TREATING PAIN, FOR EXAMPLE, VIA INFILTRATION TO PROVIDE LOCAL ANALGESIA OR VIA A NERVE BLOCK TO PROVIDE REGIONAL ANALGESIA"
"U-4185","METHOD TO PROVIDE PHOSPHORUS REPLACEMENT BY ADMINISTERING WITHOUT PRIOR DILUTION AN ISOTONIC, STERILE, AND READY-TO-USE SOLUTION COMPRISING ABOUT 15 MMOL PHOSPHORUS AND ABOUT 22 MEQ POTASSIUM FROM A FLEXIBLE CONTAINER"
"U-4186","TREATMENT OF CHOLESTATIC PRURITUS IN PATIENTS 12 MONTHS OF AGE AND OLDER WITH PROGRESSIVE FAMILIAL INTRAHEPATIC CHOLESTASIS (PFIC) WHO WEIGH 25 KILOGRAMS AND ABOVE"
"U-4187","TREATMENT OF CHOLESTATIC PRURITUS IN PATIENTS 3 MONTHS OF AGE AND OLDER WITH ALAGILLE SYNDROME (ALGS) WHO WEIGH 25 KILOGRAMS AND ABOVE"
"U-4188","ACUTE TREATMENT OF CLUSTER HEADACHES"
"U-4189","METHOD OF DECREASING EXCESSIVE DAYTIME SLEEPINESS BY ORALLY ADMINISTERING A DOSE PROPORTIONAL, PHARMACEUTICAL COMPOSITION COMPRISING IMMEDIATE RELEASE AND MODIFIED RELEASE GAMMA-HYDROXYBUTYRATE PORTIONS ONCE DAILY AT BEDTIME"
"U-4190","FOR PRE-EXPOSURE PROPHYLAXIS TO REDUCE THE RISK OF SEXUALLY ACQUIRED HIV-1 IN ADULTS AND ADOLESCENTS WEIGHING AT LEAST 35 KG WHO ARE AT RISK FOR HIV-1 ACQUISITION"
"U-4191","TREATMENT OF GASTROINTESTINAL STROMAL TUMORS IN A PATIENT SUFFERING FROM GRADE 3 PALMAR-PLANTAR ERYTHRODYSESTHESIA WHILE BEING ADMINISTERED RIPETRINIB DAILY"
"U-4192","TREATMENT OF TYPE 2 DIABETES BY ADMINISTERING IN 4 DOSES, AT LEAST 2 WEEKS APART, A GIP:GLP-1 PEPTIDE HAVING A GIP:GLP-1 RECEPTOR AGONIST POTENCY RATIO IN A RANGE DETERMINED BY A CASEIN CAMP ASSAY, WHERE DOSES ARE 25%, 50% AND 75% OF 4TH DOSE"
"U-4193","TREATMENT OF TYPE 2 DIABETES BY ADMINISTERING IN 4 DOSES, AT LEAST 4 WEEKS APART, A GIP:GLP-1 PEPTIDE HAVING A GIP:GLP-1 RECEPTOR AGONIST POTENCY RATIO IN A RANGE DETERMINED BY A CASEIN CAMP ASSAY, WHERE DOSES ARE 25%, 50% AND 75% OF 4TH DOSE"
"U-4194","METHODS OF RESTORING TESTOSTERONE CONCENTRATION FOR CONDITIONS ASSOCIATED WITH DEFICIENCY OR ABSENCE OF ENDOGENOUS TESTOSTERONE IN A MALE SUBJECT"
"U-4195","TREATMENT OF ADULT AND PEDIATRIC PATIENTS 12 YEARS AND OLDER WITH LOCALLY ADVANCED, UNRESECTABLE, OR METASTATIC PHEOCHROMOCYTOMA OR PARAGANGLIOMA (PPGL)"
"U-4196","TREATMENT OF ADULT PATIENTS WITH KRAS-MUTATED RECURRENT LOW-GRADE SEROUS OVARIAN CANCER (LGSOC) WHO HAVE RECEIVED PRIOR SYSTEMIC THERAPY, IN COMBINATION WITH DEFACTINIB"
"U-4197","TREATMENT OF OIC IN ADULTS WITH ADVANCED ILLNESS OR PAIN CAUSED BY ACTIVE CANCER WHO REQUIRE OPIOID DOSAGE ESCALATION FOR PALLIATIVE CARE"
"U-4198","TREATMENT OF OPIOID-INDUCED CONSTIPATION (OIC) IN ADULTS WITH CHRONIC NON-CANCER PAIN, INCLUDING PATIENTS WITH CHRONIC PAIN RELATED TO PRIOR CANCER OR ITS TREATMENT WHO DO NOT REQUIRE FREQUENT (E.G., WEEKLY) OPIOID DOSAGE ESCALATION"
"U-4199","DEFINITION USE CODE METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION OR PULMONARY HYPERTENSION ASSOCIATED WITH INTERSTITIAL DISEASE BY ADMINISTERING TREPROSTINIL OR A SALT THEREOF BY USING AN INHALATION DEVICE"
"U-4200","METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION OR PULMONARY HYPERTENSION ASSOCIATED WITH INTERSTITIAL DISEASE BY ADMINISTERING TREPROSTINIL OR A SALT THEREOF BY USING AN INHALATION DEVICE"
"U-4201","DOSAGE MODIFICATION FOLLOWING GRADE 3 TOXICITY OR INTOLERABLE SIDE EFFECT BY DISCONTINUING APALUTAMIDE UNTIL IMPROVEMENT TO ORIGINAL GRADE OR GRADE I IN TREATMENT OF MCRPC PATIENTS THAT INCREASES OVERALL SURVIVAL AND PROGRESSION FREE SURVIVAL"
"U-4202","IMPROVEMENT OF OVERALL SURVIVAL AND PROGRESSION FREE SURVIVAL IN METASTATIC, CASTRATION-RESISTANT PROSTATE CANCER (MCRPC) PATIENTS BY TREATMENT WITH 240 MG ORAL APALUTAMIDE IN COMBINATION WITH ANDROGEN DEPRIVATION THERAPY"
"U-4203","TOPICAL TREATMENT OF PLAQUE PSORIASIS OF THE SCALP AND BODY IN PATIENTS 12 YEARS OF AGE AND OLDER"
"U-4204","TREATMENT OF PRIMARY IMMUNOGLOBULIN A NEPHROPATHY (IGAN) IN ADULTS AT RISK OF RAPID DISEASE PROGRESSION, BY RELEASE OF BUDESONIDE FROM THE FORMULATION"
"U-4205","TREATMENT OF ADULT PATIENTS WITH KRAS-MUTATED RECURRENT LOW-GRADE SEROUS OVARIAN CANCER (LGSOC) WHO HAVE RECEIVED PRIOR SYSTEMIC THERAPY, IN COMBINATION WITH AVUTOMETINIB"
"U-4206","TREATMENT OF ADULT AND PEDIATRIC PATIENTS 3 YEARS AND OLDER WITH ACUTE HEPATITIS C VIRUS (HCV) GENOTYPE 1, 2, 3, 4, 5 OR 6 INFECTION WITHOUT CIRRHOSIS OR WITH COMPENSATED CIRRHOSIS"
"U-4207","TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC ROS1-POSITIVE NON-SMALL CELL LUNG CANCER (NSCLC)"
"U-4208","TREATMENT OF ADULT PATIENTS WITH NON-METASTATIC CASTRATION RESISTANT PROSTATE CANCER (NMCRPC)"
"U-4209","TREATMENT OF ADULT PATIENTS WITH METASTATIC CASTRATION-SENSITIVE PROSTATE CANCER (MCSPC)"
"U-4210","TREATMENT OF ADULT PATIENTS WITH METASTATIC CASTRATION-SENSITIVE PROSTATE CANCER (MCSPC) IN COMBINATION WITH DOCETAXEL"
"U-4211","TREATING HYPERPHAGIA AND REDUCING HYPERPHAGIC AGGRESSIVE BEHAVIORS IN PRADER-WILLI SYNDROME PATIENTS"
"U-4212","TREATING METASTATIC SCLC AFTER PLATINUM CHEMOTHERAPY WITH LURBINECTEDIN MONOTHERAPY BY REDUCING THE DOSE FOR GRADE ≥3 HEPATOTOXICITY FROM 3.2 TO 2.6 MG/M2 AND 2.6 TO 2.0 MG/M2 LURBINECTEDIN WITHIN 35 DAYS OF THE HIGHER DOSE IF HEPATOTOXICITY ≤GRADE 1"
"U-4213","ACUTE TREATMENT OF MIGRAINE WITH OR WITHOUT AURA IN A PATIENT UNDERGOING TREATMENT WITH A BCRP AND/OR P-GP ONLY INHIBITOR"
"U-4214","A METHOD OF SWITCHING A PATIENT FROM DAILY ORAL RISPERIDONE THERAPY TO A LONG-ACTING INJECTABLE RISPERIDONE FORMULATION"
"U-4215","TREATMENT OF PRIMARY OR SECONDARY ADRENOCORTICAL INSUFFICIENCY WITH AN ORAL LIQUID FORMULATION OF HYDROCORTISONE"
"U-4216","TREATMENT OF ADRENAL INSUFFICIENCY WITH AN ORAL LIQUID FORMULATION OF HYDROCORTISONE"
"U-4217","PET TO ESTIMATE AMYLOID BETA NEURITIC PLAQUE DENSITY IN ADULTS WITH COGNITIVE IMPAIRMENT: -EVALUATION OF ALZHEIMER’S DISEASE AND OTHER CAUSES OF COGNITIVE DECLINE -SELECTION OF PATIENTS WHO ARE INDICATED FOR AMYLOID BETA-DIRECTED THERAPY"
"U-4218","TREATMENT OF CF IN PATIENTS 6 YEARS AND OLDER WITH AT LEAST ONE F508DEL OR G551D AND AN R117H, A455E, 2789+5G->A, OR 3849+10KBC->T CFTR MUTATION, COMPRISING CONCURRENT COADMINISTRATION OF THE COMPOSITIONS OF US10058546 CLAIM 1 FURTHER COMPRISING VNZ"
"U-4219","TREATMENT OF OVERACTIVE BLADDER (OAB) WITH SYMPTOMS OF URGE URINARY INCONTINENCE, URGENCY, AND URINARY FREQUENCY IN ADULT MALES ON PHARMACOLOGICAL THERAPY FOR BENIGN PROSTATIC HYPERPLASIA (BPH)"
"U-4220","TREATMENT OF CF IN PATIENTS AGED 2 TO <6 YEARS OLD WHO HAVE IN THE CFTR GENE AT LEAST ONE F508DEL MUTATION OR A RESPONSIVE MUTATION BASED ON CLINICAL AND/OR IN VITRO DATA BY ADMINISTERING DAILY ELX/TEZ/IVA (100 MG/50 MG/75 MG) + IVA (75 MG)"
"U-4221","TREATMENT OF CF IN PATIENTS AGED 6 YEARS AND OLDER WHO HAVE IN THE CFTR GENE AT LEAST ONE F508DEL MUTATION OR A RESPONSIVE MUTATION BASED ON CLINICAL AND/OR IN VITRO DATA BY ADMINISTERING DAILY ELX/TEZ/IVA (200 MG/100 MG/150 MG) + IVA (150 MG)"
"U-4222","TREATMENT OF CF IN PATIENTS AGED 6 TO <12 YEARS OLD WHO HAVE IN THE CFTR GENE AT LEAST ONE F508DEL MUTATION OR A RESPONSIVE MUTATION BASED ON CLINICAL AND/OR IN VITRO DATA BY ADMINISTERING DAILY ELX/TEZ/IVA (100 MG/50 MG/75 MG) + IVA (75 MG)"
"U-4223","TREATMENT OF ACUTE ATTACKS OF HEREDITARY ANGIOEDEMA (HAE) IN ADULTS AND PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER"
"U-4224","TREATMENT OF TYPE 2 DIABETES IN A PATIENT HAVING ESTIMATED GLOMERULAR FILTRATION RATE LEVELS DOWN TO 30 ML/MINUTE/1.73 M2, ALBUMINURIA AND PREVIOUS MACROVASCULAR DISEASE BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH METFORMIN"
"U-4225","TREATMENT OF TYPE 2 DIABETES IN A PATIENT HAVING ESTIMATED GLOMERULAR FILTRATION RATE LEVELS DOWN TO 30 ML/MINUTE/ 1.73 M2, ALBUMINURIA AND PREVIOUS MACROVASCULAR DISEASE BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH METFORMIN"
"U-4226","TREATMENT OF TYPE 2 DIABETES IN A PATIENT HAVING ESTIMATED GLOMERULAR FILTRATION RATE LEVELS DOWN TO 30 ML/MINUTE/1 .73 M2, ALBUMINURIA AND PREVIOUS MACROVASCULAR DISEASE BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH METFORMIN"
"U-4227","METHOD OF TREATING OBESITY BY ADMINISTERING A ONCE WEEKLY ESCALATION DOSE OF 2.5 MG, 7.5 MG, OR 12.5 MG OF TIRZEPATIDE FOR AT LEAST 2 WEEKS AND A ONCE-WEEKLY MAINTENANCE DOSE OF 5 MG, 10 MG, OR 15 MG OF TIRZEPATIDE FOR AT LEAST 2 WEEKS"
"U-4228","METHOD OF IMPROVING WEIGHT MANAGEMENT BY ADMINISTERING A ONCE WEEKLY ESCALATION DOSE OF 2.5 MG, 7.5 MG, OR 12.5 MG OF TIRZEPATIDE FOR AT LEAST 2 WEEKS AND A ONCE-WEEKLY MAINTENANCE DOSE OF 5 MG, 10 MG, OR 15 MG OF TIRZEPATIDE FOR AT LEAST 2 WEEKS"
"U-4229","METHOD OF IMPROVING GLYCEMIC CONTROL BY SUBCUTANEOUSLY ADMINISTERING A FIRST ONCE-WEEKLY DOSE OF 2.5 MG TIRZEPATIDE FOR 4 WEEKS, INCREASING THE ONCE-WEEKLY DOSE BY INCREMENTS OF 2.5 MG TO A ONCE-WEEKLY MAINTENANCE DOSE OF 5, 10, OR 15 MG FOR 4 WEEKS"
"U-4230","METHOD OF IMPROVING GLYCEMIC CONTROL BY ADMINISTERING A ONCE WEEKLY ESCALATION DOSE OF 2.5 MG, 7.5 MG, OR 12.5 MG OF TIRZEPATIDE FOR AT LEAST 2 WEEKS AND A ONCE-WEEKLY MAINTENANCE DOSE OF 5 MG, 10 MG, OR 15 MG OF TIRZEPATIDE FOR AT LEAST 2 WEEKS"
"U-4231","METHOD OF IMPROVING GLYCEMIC CONTROL BY ADMINISTERING A FIRST ONCE-WEEKLY DOSE OF 2.5 MG TIRZEPATIDE FOR 4 WEEKS, INCREASING THE ONCE-WEEKLY DOSE BY INCREMENTS OF 2.5 MG TO A ONCE-WEEKLY MAINTENANCE DOSE OF 5, 10, OR 15 MG FOR 4 WEEKS"
"U-4232","TREATMENT OF TYPE 2 DIABETES BY ADMINISTERING A ONCE WEEKLY ESCALATION DOSE OF 2.5 MG, 7.5 MG, OR 12.5 MG OF TIRZEPATIDE FOR AT LEAST 2 WEEKS AND A ONCE-WEEKLY MAINTENANCE DOSE OF 5 MG, 10 MG, OR 15 MG OF TIRZEPATIDE FOR AT LEAST 2 WEEKS"
"U-4233","VOSTALLY IS INDICATED FOR THE TREATMENT OF HYPERTENSION, TO LOWER BLOOD PRESSURE"
"U-4234","PREVENTIVE TREATMENT OF MIGRAINE IN ADULTS UNDERGOING CONCURRENT TREATMENT WITH A STRONG CYP3A4 INHIBITOR"
"U-4235","A METHOD OF REDUCING THE HEART RATE OF A SUBJECT SUFFERING FROM SUPRAVENTRICULAR TACHYCARDIA, WHEREIN LANDIOLOL IS ADMINISTERED PARENTERALLY AT A CONSTANT DOSE OF MORE THAN 20 MCG/KG/MIN FOR 2-20 HOURS, WHEREIN THE DOSE IS NOT HIGHER THAN 40 MCG/KG/MIN"
"U-4236","DURING LEVOKETOCONAZOLE DOSAGE TITRATION FOR THE TREATMENT OF CUSHING'S SYNDROME IN PATIENTS WHO CONCOMITANTLY USE A MATE1 SUBSTRATE, MONITORING THE SUBJECT FOR A DOSE LIMITING EVENT AND ADJUSTING THE DOSAGE OF THE MATE1 SUBSTRATE AS NEEDED"
"U-4237","METHOD OF INHIBITING JANUS KINASE 2 OR JANUS KINASE 3 TO TREAT MODERATE TO SEVERE CHRONIC HAND ECZEMA (CHE) IN ADULTS WHO HAVE HAD AN INADEQUATE RESPONSE TO, OR FOR WHOM TOPICAL CORTICOSTEROIDS ARE NOT ADVISABLE"
"U-4238","TREATMENT OF ADULT AND PEDIATRIC PATIENTS AGED 12 YEARS AND OLDER WITH C3 GLOMERULOPATHY (C3G) OR PRIMARY IMMUNE-COMPLEX MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS (IC-MPGN) BY ADMINISTRATION OF A UNIT DOSE OF PEGCETACOPLAN IN A COMPOSITION OF CLAIM 1"
"U-4239","TREATMENT OF PEDIATRIC PATIENTS AGED 12 YEARS AND OLDER WEIGHING 35 KG TO LESS THAN 50 KG WITH C3G OR PRIMARY IC-MPGN BY TWICE WEEKLY SUBCUTANEOUS ADMINISTRATION OF A UNIT DOSE OF 810 MG OF PEGCETACOPLAN IN A COMPOSITION OF CLAIM 1"
"U-4240","TREATMENT OF ADULT AND PEDIATRIC PATIENTS AGED 12 YEARS AND OLDER WEIGHING 50 KG OR HIGHER WITH C3G OR PRIMARY IC-MPGN BY TWICE WEEKLY SUBCUTANEOUS ADMINISTRATION OF A UNIT DOSE OF 1080 MG OFPEGCETACOPLAN IN A COMPOSITION OF CLAIM 1"
"U-4241","TREATMENT OF ADULT AND PEDIATRIC PATIENTS AGED 12 YEARS AND OLDER WEIGHING 50 KG OR HIGHER WITH C3 GLOMERULOPATHY OR PRIMARY IMMUNECOMPLEX MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS BY ADMINISTRATION OF 1080 MG OF PEGCETACOPLAN TWICE WEEKLY"
"U-4242","TREATMENT OF ADULT AND PEDIATRIC PATIENTS AGED 12 YEARS AND OLDER WITH C3 GLOMERULOPATHY (C3G) OR PRIMARY IMMUNE-COMPLEX MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS (IC-MPGN) BY ADMINISTRATION OF PEGCETACOPLAN"
"U-4243","TREATMENT OF ADULT AND PEDIATRIC PATIENTS AGED 12 YEARS AND OLDER WITH C3G OR PRIMARY IC-MPGN BY ADMINISTRATION OF PEGCETACOPLAN SO AS TO REDUCE THE SENSITIVITY OF CELLS TO COMPLEMENT-MEDIATED DAMAGE"
"U-4244","TREATMENT OF ADULT AND PEDIATRIC PATIENTS AGED 12 YEARS AND OLDER WITH C3 GLOMERULOPATHY (C3G) OR PRIMARY IMMUNE-COMPLEX MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS (IC-MPGN) BY ADMINISTRATION OF COMPLEMENT INHIBITOR PEGCETACOPLAN"
"U-4245","USE OF ZONGERTINIB FOR TREATING NON-SMALL CELL LUNG CANCER (NSCLC)"
"U-4246","FOR USE IN THE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC NON-SQUAMOUS NON-SMALL CELL LUNG CANCER (NSCLC)"
"U-4247","FOR USE IN THE TREATMENT OF PATIENTS WITH MALIGNANT PLEURAL MESOTHELIOMA"
"U-4248","FOR USE IN THE TREATMENT OF PATIENTS WITH MALIGNANT PLEURAL MESOTHELIOMA AND/OR LOCALLY ADVANCED OR METASTATIC NON-SQUAMOUS NON-SMALL CELL LUNG CANCER (NSCLC)"
"U-4249","AS AN ADJUNCT TO DIET AND EXERCISE FOR THE TREATMENT OF ADULTS WITH HYPERCHOLESTEROLEMIA, INCLUDING HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA (HEFH), BY INHIBITING EXPRESSION OF THE PCSK9 GENE"
"U-4250","METHOD OF TREATING HYPERPHENYLALANINEMIA (HPA) IN ADULT AND PEDIATRIC PATIENTS WITH SEPIAPTERIN-RESPONSIVE PHENYLKETONURIA (PKU) BY ADMINISTERING SEPIAPTERIN WITH FOOD"
"U-4251","TREATMENT OF HYPERPHENYLALANINEMIA (HPA) IN ADULT AND PEDIATRIC PATIENTS WITH SEPIAPTERIN-RESPONSIVE PHENYLKETONURIA (PKU) BY ADMINISTERING SEPIAPTERIN"
"U-4252","TREATING METASTATIC SCLC AFTER PLATINUM CHEMOTHERAPY WITH LURBINECTEDIN MONOTHERAPY BY REDUCING THE DOSE FOR GRADE 4 THROMBOCYTOPENIA OR GRADE 3 WITH BLEEDING FROM 3.2 TO 2.6 MG/M2 AND 2.6 TO 2.0 MG/M2 LURBINECTEDIN WITHIN 35 DAYS OF THE HIGHER DOSE"
"U-4253","ATMEKSI IS INDICATED AS AN ADJUNCT TO REST, PHYSICAL THERAPY, AND OTHER MEASURES FOR THE RELIEF AND DISCOMFORT ASSOCIATED WITH ACUTE, PAINFUL MUSCULOSKELETAL CONDITIONS"
"U-4254","METHOD OF TREATING ADULT AND PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER WITH DIFFUSE MIDLINE GLIOMA HARBORING AN H3 K27M MUTATION WITH PROGRESSIVE DISEASE FOLLOWING PRIOR THERAPY"
"U-4255","A METHOD FOR TREATING ULCERATIVE COLITIS BY ADMINISTERING ESTRASIMOD L-ARGININE IN AN AMOUNT EQUIVALENT TO ABOUT 2.0 MG OF ESTRASIMOD"
"U-4256","TREATMENT OF ADULT PATIENTS WITH RECURRENT LOW-GRADE INTERMEDIATE-RISK NON-MUSCLE INVASIVE BLADDER CANCER"
"U-4257","TREATMENT OF NON-CYSTIC FIBROSIS BRONCHIECTASIS IN PATIENTS 12 YEARS OF AGE AND OLDER"
"U-4258","A METHOD OF TREATING PRIMARY HYPERLIPIDEMIA USING BEMPEDOIC ACID"
"U-4259","TREATMENT OF CHRONIC GRAFT-VERSUS-HOST DISEASE (CHRONIC GVHD) AFTER FAILURE OF AT LEAST TWO PRIOR LINES OF SYSTEMIC THERAPY IN ADULT AND PEDIATRIC PATIENTS 12 YEARS AND OLDER THROUGH INHIBITING RHO-ASSOCIATED, COILED-COIL CONTAINING PROTEIN KINASE"
"U-4260","TREATMENT OF CHRONIC GRAFT-VERSUS-HOST DISEASE (CHRONIC GVHD) AFTER FAILURE OF AT LEAST TWO PRIOR LINES OF SYSTEMIC THERAPY IN ADULT AND PEDIATRIC PATIENTS 12 YEARS AND OLDER"
"U-4261","TREATMENT OF DEPRESSIVE EPISODES ASSOCIATED WITH BIPOLAR DISORDER"
"U-4262","A METHOD FOR THE TREATMENT OF ADULT PATIENTS WITH STABLE WILSON'S DISEASE WHO ARE DE-COPPERED AND TOLERANT TO PENICILLAMINE"
"U-4263","TREATMENT OF SEVERE FROSTBITE IN ADULTS TO REDUCE THE RISK OF DIGIT AMPUTATIONS"
"U-4264","TREATMENT OF ORAL ULCERS ASSOCIATED WITH BEHCET'S DISEASE BY ADMINISTERING APREMILAST WITH FOOD"
"U-4265","TREATMENT OF PSORIATIC ARTHRITIS BY ADMINISTERING APREMILAST WITH FOOD"
"U-4266","TREATMENT OF PLAQUE PSORIASIS BY ADMINISTERING APREMILAST WITH FOOD"
"U-4267","METHOD FOR TREATING ADULT PATIENTS WITH PERSISTENT OR CHRONIC IMMUNE THROMBOCYTOPENIA (ITP) WHO HAVE HAD AN INSUFFICIENT RESPONSE TO A PREVIOUS TREATMENT, BY ACHIEVING A PLATELET COUNT OF AT LEAST 50,000/UL"
"U-4268","METHOD OF INHIBITING BRUTON'S TYROSINE KINASE ACTIVITY IN ADULT PATIENTS WITH PERSISTENT OR CHRONIC IMMUNE THROMBOCYTOPENIA (ITP) WHO HAVE HAD AN INSUFFICIENT RESPONSE TO A PREVIOUS TREATMENT"
"U-4269","METHOD OF TREATING PERSISTENT OR CHRONIC IMMUNE THROMBOCYTOPENIA (ITP) IN ADULT PATIENTS WHO HAVE HAD AN INSUFFICIENT RESPONSE TO A PREVIOUS TREATMENT"
"U-4270","METHOD OF TREATMENT OF ADULT PATIENTS WITH PERSISTENT OR CHRONIC IMMUNE THROMBOCYTOPENIA (ITP) WHO HAVE HAD AN INSUFFICIENT RESPONSE TO A PREVIOUS TREATMENT"
"U-4271","ADJUNCTIVE THERAPY FOR PARTIAL-ONSET, PRIMARY GENERALIZED TONIC-CLONIC (PGTC), OR LENNOX-GASTAUT SEIZURES IN PATIENTS 2 YEARS AND OLDER"
"U-4272","MAINTENANCE TREATMENT OF BIPOLAR I DISORDER TO DELAY MOOD EPISODES"
"U-4273","CONVERSION TO MONOTHERAPY FOR PARTIAL-ONSET SEIZURES IN PATIENTS 16 YEARS AND OLDER"
